"SPECIES","CALIFORNIA_RETAINED_NUM","CALIFORNIA_RELEASED_DEAD_NUM","CALIFORNIA_RETAINED_MT","CALIFORNIA_RELEASED_DEAD_MT","OREGON_RETAINED_NUM","OREGON_RELEASED_DEAD_NUM","OREGON_RETAINED_MT","OREGON_RELEASED_DEAD_MT","WASHINGTON_RETAINED_NUM","WASHINGTON_RELEASED_DEAD_NUM","WASHINGTON_RETAINED_MT","WASHINGTON_RELEASED_DEAD_MT"
"Blue Rockfish",321402.438516332,34565.749960451,179.429950439332,7.316690772826,10490,2812,8.55164254090261277024922136727226110579,.8346393670549450549450549450549450549455,4291.9388,289.202673,3.61467043864,.2451050085451
"Kelp Rockfish",6096.555952503,193.474824253,2.97524184715,.075014241495,16,1,.014,.000875
"Yellowtail Rockfish",83929.508961291,3249.697076007,57.804732896496,.716091863217,38481,1587,40.61054175464801138937087534384020846686,.5572828922416891284815813117699910152729,40978.7418,651.613705,47.66047904534,.7516518694823
